words	class0	class1	class2	class3	class4	class5	class6	class7	class8	class9	class10	class11	class12	class13	class14	class15	class16	class17	class18	class19
Brevibacillus	0.00000343	0.00000000	2.62549019	0.00000000	0.00000000	32.24066146	0.00000000	0.00000000	0.00068200	0.00000000	0.00001199	0.00000028	0.00000000	0.00002181	0.00002851	0.00000006	0.00000341	0.00000000	0.00001920	0.00000329
Propionibacterium	0.00001331	0.00000000	0.00001022	0.00003108	0.00000599	0.00000000	0.00000016	0.00000000	0.00000000	0.00000005	0.00000000	0.00000051	0.00000076	0.00000000	0.00000000	0.00005006	0.00000614	0.01273544	0.00003771	0.00011676
Abiotrophia	0.00009981	0.00000000	0.00002799	0.00000000	0.00000000	0.00000000	0.05002649	0.00000000	0.00003115	0.00000009	0.00000000	0.00000030	0.00000000	0.00000872	0.00000000	0.00000005	0.00000195	0.00000000	0.00002107	0.00006031
Barnesiella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00664700	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000049	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Butyrivibrio	0.00000000	0.00000000	0.00000154	0.00000000	0.00000000	0.00000000	0.00000000	2623.79357139	0.00000000	0.15291191	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000034	0.00000000	0.00000000	0.00000000	0.00000132
Peptococcus	0.00000220	0.00111526	0.00000193	0.00000087	0.00005044	0.00000000	0.00000036	0.00000000	0.00000000	0.00000091	0.00000479	0.00000044	0.00015491	0.00000000	0.00004795	0.00000001	0.00000764	0.00000000	0.00006995	0.00000000
Mycobacterium	0.00000000	0.00000000	0.00000558	0.00003717	0.00000000	0.00000000	0.00000079	0.00000000	0.00016740	0.00000051	0.00000000	0.00000000	0.00000000	0.00000004	0.00000000	0.00000005	0.00000661	0.00000000	0.00000000	0.00003341
Delftia	0.00009429	0.00000000	0.00003640	0.00000362	0.00000000	0.00000000	0.00000158	0.00000000	0.00021110	0.00000463	0.00000000	0.00000000	0.00000000	0.00004395	0.00001171	0.00000000	0.00000000	0.08178648	0.00005732	0.00005003
Bacteroides	0.00002823	0.00000000	0.00000000	0.00000197	0.00000000	0.00000000	0.00000555	0.00000000	0.00000000	0.00000000	0.00000000	0.00000085	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Cryptobacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	107.89690065	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000001	0.00000000	0.00000000	0.00000000	0.00000000
Comamonas	0.00000000	0.00000000	0.00000495	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	332.30041440	0.00000000	0.39005153	0.00000000	0.00001019	0.00000882	0.00004136	0.00000004	0.00000000	0.08224541	0.00002123	0.00000000
Achromobacter	0.00009517	0.00000000	0.00000911	0.00000000	0.00000000	0.00000065	0.00000000	0.00000540	0.00000000	0.00000104	0.00000320	0.00000000	0.46325869	10.58374069	0.00000000	0.00006693	0.00000474	0.00000000	0.00000000	0.00000418
Lonepinella	0.00022768	0.00000000	0.00013203	0.00000725	0.00000568	0.00000001	0.00000000	0.01799192	0.00148669	0.00000342	0.00000000	0.00000000	5.08165635	0.00004830	0.00000000	0.00013383	0.00000000	0.00000000	0.00000000	0.00000623
Enhydrobacter	0.00000000	0.00000000	0.00000000	0.00000258	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000002	0.00000000	0.00000000	0.00000000	0.00003024
Odoribacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000435	0.00000000
Actinobaculum	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.64088373	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Micrococcus	0.00003257	0.00000000	0.00001099	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000003	0.00000000	0.00000000	268.74258646	0.00000000	0.00000000	0.00000000
Kingella	0.00000000	0.00000000	0.00001239	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.25702628	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00027911
Nicoletella	0.00000000	0.00000000	0.00001533	0.00005184	0.00000000	0.00000001	0.00000000	0.01508388	0.00379056	0.05730150	0.00000000	0.00000000	0.00005099	0.00001611	0.00000000	0.00000000	0.00000000	0.00000000	0.00000260	0.00000732
Brachymonas	0.00000040	0.00000000	2.62537965	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Dermacoccus	0.00000478	0.00000000	0.00000000	0.00000022	0.00000984	0.00000000	0.00000000	0.00000000	0.00006338	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000017	0.00000000	0.00000000	0.00000000
Dolosigranulum	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	33.50632761	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
Brevundimonas	0.00000040	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000084	48.03012558	0.00000000	0.00000000
Flavobacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000002	0.00000000	0.00000000	0.00000000	0.00000000	0.00000417	0.00000000	0.00000000	0.00000000
